Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"Minat yang saya miliki didalam bidang IT yaitu Web developer menggunakan laravel, dan Mobile develope menggunakan android studio dan react nattive, dan database administrator menggunakan MySQL dan Oracle"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Front-end, UI/X"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Fullstack Web-Developer
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,saya sangat berminat di bidang programming terlebih di web application
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,4KA##,Universitas Gunadarma,"Minat saya saat ini mau lebih memfokuskan ke Back End Programming, dan juga sambil lanjut ke Front End Programming "
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX Design dan Database
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"Front end web developer, backend web developer, full stack web developer "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Fullstack programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX 
Fakultas Ekonomi,Manajemen,2EA##,Universitas Gunadarma,"Saya tertarik pada bidang backend  and frontend tetapi lebih diutamakan backend karena saya sendiri kurang kreatif dalam hal desain. Saya tertarik di bidang backend karena backend merupakan bagian dalam yang tidak berinteraksi dengan pengguna yang mengatur semua data,transaksi,dll sbagai pendukung front end"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Rasa penasaran yang tinggi dan coding itu keren
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"Database, Copywriter, Cyber Security "
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Sejujurnya, saya baru terjun ke dunia IT dan belom paham betul tentang bagian-bagian di bidang IT dan hanya pernah membaca garis besarnya saja di internet. Dan tentu saja saya sangat ingin tau lebih banyak lagi tentang IT."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,UI/UX & Web Development
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,front end web development
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,UI / UX 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Minat saya berada di back end programming, namun di saat yang bersamaan saya juga tertarik untuk mempelajari front end"
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"UI/UX, Content Writing"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,4KA##,Universitas Gunadarma,"Dalam bidang IT saya tertarik dalam Front End Development, UI/UX dan Android Development. Minat saya di Front End Development dan UI/UX didorong dengan keahlian saya dalam desain grafis. Dan minat saya dalam Android Development didorong dengan bekal ilmu saya yang sudah saya dapatkan disaat mengikuti program Bangkit."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Tentang mengcoding dan programing gitu yang saya minat
Fakultas Teknologi Industri,other,1IC##,Universitas Gunadarma,UI
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Web development (Front-End)
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Saya berminat dibidang UI/UX karna ingin membuat tampilan aplikasi menjadi friendly
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Saya berminat dalam bidang UI/UX, tetapi saya masih sangat minim wawasan tentangnya.  "
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"minat saya dalam bidang IT adalah fullstack web develeoper, sekarang saya sedang mendalami bagian frontend dari web developer. saya tertarik fullstack web developer dikarenakan saya dapat mengembangkan aplikasi saya sendiri secara individual. kemudian saya juga ingin mendalami dua bidang dari frontend maupun backend"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,WEB DEVELOPER
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,4KA##,Universitas Gunadarma,"Manajemen jaringan, programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"saya suka dan tertarik dalam bidang IT, dan saya sekarang lagi senang mempelajari UI/UX, dari itu saya ingin memperluas dan mengasah pengetahuan saya di bidang IT"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,web developer
