Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,4KA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"UI/UX, fullstack web programming "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,programming
Fakultas Teknik informatika,Teknik  Informatika,2IA##,Universitas Gunadarma,Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,frontend
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"UI design, Backend Programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,ingin mendalami ilmu pemrograman dan bisa membuat suatu project dengan tim 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Untuk saat ini saya minat dalam bidang FullStack Dev dan Data Scientist.
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"Sebelum Saya magang saya sangat ingin untuk belajar Front end / Back End Developer,tetapi Semenjak saya magang saya sangat ingin mendalami tentang web developer,tetapi itu tidak mengurangi minat saya untuk belajar frontend/backend developer"
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"Web Development, UI/UX"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,minat saya di web developer dan mobile apps
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,other,-,Universitas Indraprasta PGRI,Backend
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,2KB##,Universitas Gunadarma,"System analyst, Hardware Engineer, Programmer"
Fakultas Psikologi,Psikologi,2PA##,Universitas Gunadarma,
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,minat yg paling saya sukai adalah back end tetapi front end saya juga tertarik
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Saya berminat dalam Backend programming, namun juga tertarik dalam fullstack developing, juga tertarik dalam data science, dan mobile app."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Front end
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,UI
D3 Teknologi Informasi ,Manajemen,1DB##,Universitas Gunadarma,backend programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Cyber sekurity, computer forensic investigator"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"UI UX Design , front end Web Development"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya sangat tertarik untuk belajar bidang IT seperti backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"coding, ui / ux , IT developer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,2kb##,Universitas Gunadarma,"fullstack programming, software developer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Dari dulu tuh tertarik sama backend dan cybersecurity. Apalagi setelah ikut webinar tentang cybersecurity jadi makin tertarik. Tapi gatau harus mulai dari mana
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Fullstack web programing dan UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,web programming
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,UI/UX 
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Saya tertarik pada Mobile App Development khususnya Android, UI/UX, dan web development."
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,4KB##,Universitas Gunadarma,"Web Dev, UI/UX."
Fakultas Ekonomi,Manajemen,1EA##,Universitas Gunadarma,"Progamming, cloud computing, SQL, dll."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"aku sendiri lebih condong ke UI/UX ya, karena selama 3 tahun belajar perkodingan di sekolah aku merasa paling enjoy waktu mengerjakan itu 😀"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Berminta menjadi Web programming/Network engineer
Fakultas Psikologi,Psikologi,2PA##,Universitas Gunadarma,Saya ingin belajar tentang UI/UX karena ingin mempunyai pengalaman untuk mempercantik tampilan situs/aplikasi dengan cara mendesain yang baik dan benar serta mendapatkan fungsionalitas dari penggunaan aplikasi/ situs nantinya.
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Programmer (saya kurang memahami mungkin saat saya bergabung saya akan memahami role-role tersebut)
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Seorang web designer atau backend developer
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"FrontEnd, BackEnd, Mobile, Game Development"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,saya ingin memahami serta mempelajari front-end dan back-end
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Web Programing
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,software enginner
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"sebelumnya saya kurang paham dalam IT tpi IU/UX lebih saya minati dari yang lain, karna saya juga suka terhadap seni desain. saya ingin mencoba mempelajari dan membuatnya."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,web developer
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,IT support
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma," machine learning, backend programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Minat saya khusunya dalam bidang IT menjadi seorang programer dan security database
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2ka##,Universitas Gunadarma,system manager
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"UI/UX , Programming, Software Engineering, Web Developer, IT Consultant dan IT Startup"
Teknik ,Teknik Elektro,-,other,Data Science
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"saya terinspirasi dari beberapa orang bahkan sebuah karakter fiksi. contohnya seperti Mark Zuckernberg, Elon Musk, dan karakter fiksi seperti Tony Stark. mereka adalah orang-orang hebat yang bisa merubah dunia dengan teknologi dan kepintaran mereka. Sehingga saya tertarik dengan teknologi khusunya di bidang seperti pemrograman. saya ingin membantu banyak orang dengan program yang saya buat dan memberikan banyak kemudahan dan akses yang mudah untuk digunakan."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Software Devolopper
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,3KB##,Universitas Gunadarma,"Saya memiliki minat di bidang backend programming, saya akan merancang sistem yang efisien dan dapat menyelesaikan suatu permasalahan."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"ML Engineer, Data Analysis, Backed Engineer"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Backend programing
Fakultas Teknologi Industri,Teknik Industri,1ID##,Universitas Gunadarma,"Saya sangat berminat atau menekuni di bidang Data Science seperti Big data, pyhton, coding, dan ilmu lain yang relevan dengan bidang itu"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,saya berminat mempelajari tentang UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,programing atau jaringan
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Saya sangat tertarik pada UI/UX sebuah website maupun aplikasi.
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"UI/UX 
Cloud Computing "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Front-End dan Back-End programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"UI/UX, web design"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Minat saya dalam bidang IT yaitu backed programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,Minat dalam UI/UX (desain web)
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma, UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"UI/UX dan yang lainnya saya juga minat ka, karena untuk menambah pengetahuan saya"
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"Minat saya dalam memilih bidang IT ini khususnya dalam bidang UI/UX dikarenakan saya senang mendesain ulang aplikasi lalu mengubahnya menjadi sedikit berbeda dan mungkin lebih user friendly, proses belajar dalam hal UI/UX yang saya lakukan didukung dengan menggunakan platform Figma."
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,web developer 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Sejujurnya belum tahu, karena saya sangat memulai dari nol masuk jurusa  TI"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Android Developer, Front End dan Back End Developer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Database Administrator
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya ingin menjadi seorang Web Developer (Front end dan Back end) untuk dijadikan pekerjaan lepas dan seorang Data Science sebagai pekerjaan saya selepas kuliah nanti.
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"- Full-stack programming
- UI/UX
- Sound Signal Processing"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"karena saya sangat suka design, saya ingin menjadi ui/ux designer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Minat saya dalam bidang it yaitu,berbagai hal yg berbau html dan hacking investigator"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,web design
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,pengennya sih front end biar bisa design web dengan rapih
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,Web Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,1IA##,Universitas Gunadarma,minat saya sangat ingin bisa belajar coding
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Frontend Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Full stack programming
Fakultas Teknologi Industri,Teknik  Informatika,1|A##,Universitas Gunadarma,"Saya mempunyai ketertarikan dengan dunia Cyber Security dan selalu penasaran bagaimana sebuah sistem dapat berjalan pada sebuah teknologi dan security yang digunakan itu seperti apa, saya merasa tertantang untuk mengetahui semua itu dan berupaya melakukan deep learning tentang Cyber Security."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,saya ingin menjadi programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Minat saya adalah backed progammer, selain bertanggung jawab untuk mengelola server, agar komunikasi berjalan dengan lancar sebagai developer juga mengelola database dan aplikasi"
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,Graphic & UI designer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX Design
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,1KB##,Universitas Gunadarma,Android development
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,other,1IC##,Universitas Gunadarma,"Saya mempunyai minat di bidang AI (kecerdasan buatan), karena menurut saya mempelajari hal itu dapat mengubah cara pandang saya terhadap teknologi. Walaupun saya belum mempunyai kemampuan untuk mempelajarinya, tetapi saya akan berusaha untuk bisa memahami dan mengimplementasikannya."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,-
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Backend programming &, web development"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Back End dan bahasa persandian
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"1.	Web Programming : Karena saya memiliki bisnis dan saya tertarik juga bisnis ssaya dikembangkan dengan Website
2.	UI/IX : Karena saya tertarik di bidang Web Programming dan Design saya ingin mengembangkan kedua ketertarikan saya dan membangun bisnis di bidang IT dan Design. "
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Software Developer
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Programming (Backend, Frontend)"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"Database, networking, mobile application, softwere engineer, business analyst"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Saya belum tau minat saya di apa dalam bidang IT. Saya ingin bergabung dengan gdsc bertujuan untuk membantu diri saya sendiri untuk menemukan minat saya. 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,application programing dan backend programing
Fakultas Teknologi Industri,Teknik  Informatika,4ia##,Universitas Gunadarma,"backend and frontend website, android dan data analys ."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,"Saya berminat tentang dunia web programming. Termasuk frontend, backend, dan juga UI/UX."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Backend programing,per codingan"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Untuk saat ini saya belum tahu pasti keahlian saya akan menuju ke bidang yang mana, namun saya mempunyai minat untuk menjadi seorang Web Developer."
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,"UI/UX, Multimedia & Game"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Software Development
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Saya ingin mendalami UI/UX desaign
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,
Fakultas Psikologi,Psikologi,4PA##,Universitas Gunadarma,"Yang menjadi minat saya dalam bidang IT yaitu Artificial Intellegence dengan kecerdesan buatan manusia, mempelajari penerapan ilmu matematika seperti matriks, aljabar, vektor dll. Untuk membuat sistem cerdas yang dapat memudahkan pekerjaan manusia dalam lingkungan sehari-hari, penerapannya seperti kamera cctv, virtual reality, dll. Selain itu saya juga berminat dalam menentukan tampilan aplikasi/situs atau user interface. "
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Sejak kecil saya sangat suka menonton film dan bermain game bertemakan science fiction. Seperti halnya dalam film yang menceritakan robot-robot dengan kecerdasan buatan dan mampu membantu manusia dalam kehidupan sehari-hari.

Ketika saya besar hal-hal yang saya tonton tersebut membuat saya semakin tertarik dengan AI dan juga ML. Meskipun saya belum tahu kapan pemerintah bisa mendukung penuh para mahasiswa untuk menciptakan sesuatu di bidang kecerdasan buatan, namun saya tetap percaya suatu hari bisa mengimplementasikan ilmu yang saya pelajari dan membuat sesuatu yang berguna untuk orang banyak.

Di samping AI dan ML saya juga menyukai bidang mobile application, hal ini dikarenakan saya terinspirasi oleh kakak kedua saya yang juga bekerja di bidang TI dan menjadi mobile lead engineer dalam waktu yang singkat dan bekerja di perusahaan yang cukup besar."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Back end programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"Sebenarnya saya masih belum begitu paham dengan dunia IT, tetapi saya ingin mempelajarinya karena saya tau ini sangat  penting buat kedepannya karena perkembangan teknologi di dunia semakin pesat "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,software engineer 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2ka##,Universitas Gunadarma,Tertarik untuk mempelajari frontend
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,4IA##,Universitas Gunadarma,security sistem
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Karena saya masih awam, baru terjun di dunia IT tahun ini, namun saya mempunyai minat terhadap pembuatan aplikasi dan tertarik dengan UI/UX design dan ingin belajar lebih dalam lagi."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"APP/Game Developer, UI/UX"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,saya sedang mendalami data science menggunakan pyhton
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,backend programming
Fakultas Ekonomi,other,1EB##,Universitas Gunadarma,UI/UX and problem solving
teknik informatika,Teknik  Informatika,1|A##,Universitas Gunadarma,menjadi programer 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Software engineer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX / Game Dev
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,"artificial intellegent, frontend progamming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"UI/UX, Machine Learning, Backend Programming"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,full stack programming
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,Cyber security/database administrator/system analyst
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Design, Coding, Web Design, Editing."
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Saya ingin sekali belajar coding atau code maka dari itu saya sangat minat di bidang UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,31A##,Universitas Gunadarma,Game developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya  ingin membuat programmer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Back End Developer
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"backend programming, hardware engineer"
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Frontend Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,1KB##,Universitas Gunadarma,Saya tertarik untuk mengembangkan skill di bidang Android development. 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Computer Science, Data Analyst, Machine Learning, Developer, IoT, Robotic"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,2KB##,Universitas Gunadarma,ingin sekali fullstack. ingin memperdalam frontend lalu mencoba terjun ke backend walaupun saya masih sangat dasar dalam hal programing
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Backend Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,web developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,System Analyst
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"minat saya ialah Mobile apps developer karena dengan perkembangan yang sangat pesat terhadap smartphone saat ini,saya ingin membuat apps yang dapat menunjang kinerja terhadap orang lain dimasa yang akan datang"
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,tertarik pada web dan database
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Mobile Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Frontend programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Saya berminat untuk menjadi backend programer
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Web developer
Fakultas Ilmu Komunikasi,other,2MA##,Universitas Gunadarma,Minat ku saat ini ingin sekali mempelajari tentang UI/UX 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,2KB##,Universitas Gunadarma,"Artificial Intelligence, backend programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya sangat berminat dalam disain terutama disain grafis dalam peprograman di jurusan sistem informasi ini 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,App & web ui/ux designer
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,"minat saya adalah dibidang psikologi, karena saya ingin mendalami sisi manusia."
Fakultas Ilmu Komunikasi,other,2MA##,Universitas Gunadarma,UI/UX DESIGN
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,3IA##,Universitas Gunadarma,test
Fakultas Ilmu Komunikasi,other,1MA##,Universitas Gunadarma,"sebelumnya saya tidak mengetahui lebih banyak tentang hal ini, tetapi saya telah melakukan riset tentang UX atau user experience yang akan menjadi minat saya, karena di profesi ini saya ingin mencoba untuk memikirkan aplikasi apa yang ingin saya buat dan membuatnya berguna untuk memecahkan suatu masalah dsb. serta kemampuan memahami akan hal apa yang diinginkan dan dibutuhkan publik di masa kini. "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,ui/ux / data saince
Fakultas Teknologi Industri,other,1IC##,Universitas Gunadarma,Backend programming
Fakultas Ekonomi,Manajemen,1EA##,Universitas Gunadarma,Backend programing
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2ka##,Universitas Gunadarma,"Erp,web development,"
Fakultas Ilmu Komputer dan Teknologi Informasi,other,-,Universitas Gunadarma,test
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Masih ragu dan blm terlalu mengerti dalam hal IT
Fakultas Teknologi Industri,Teknik  Informatika,4ia##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Frontend Developer
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"UI/UX DESIGN, Full stack dev, cyber security, android/ios dev"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Minat saya dalam bidang khususnya IT adalah Network architecture dan Web Program
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Progamming. saya ingin menambah skill progamming lebih dalam setelah kegagalan saya saat SMA
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Saya mempunyai minat yang tinggi mengenai Design, terutama UI/UX Design & Graphic Design. Serta tertarik dengan Front-End Development."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,minat saya untuk masuk jurusan Teknik Informatika tentu saja ingin menjadi seorang Backend Developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Web developer
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Saya adalah orang yang sangat tertarik dengan segala hal tentang teknologi pemrograman dan pengembangan Web dan juga Front End, saya juga ingin mencari pengalaman dibidang ini dan selalu merasa tertantang untuk mengerjakan projek-projek baru pembuatan aplikasi berbasis web."
